tempmax,tempmin,temp,humidity,precip,precipprob,preciptype,windspeed,sealevelpressure,cloudcover,visibility,uvindex,severerisk,year,timestamp
27.6,7.1,-7.000000000000001,83.6,0.056,100.0,snow,21.6,1002.1,78.7,3.4,1,10,2019,2026-01-26 19:36:28.028632
18.0,0.9,-12.555555555555555,62.8,0.0,6.0,"rain,snow",12.8,1016.1,27.1,10.1,5,10,2019,2026-01-27 19:36:28.028632
27.9,4.0,-8.777777777777779,61.5,0.0,1.0,"rain,snow",10.3,1020.1,7.5,10.1,5,10,2020,2026-01-28 19:36:28.028632
33.0,11.0,-5.277777777777778,71.4,0.256,49.0,"rain,snow",5.8,1017.5,54.9,7.8,2,10,2020,2026-01-29 19:36:28.028632
35.9,24.7,-1.3333333333333326,81.1,0.035,49.0,"rain,snow",8.9,1005.3,44.5,12.9,4,10,2021,2026-01-30 19:36:28.028632
32.8,18.4,-3.7222222222222223,77.3,0.02,14.0,"rain,snow",8.1,1010.9,48.8,13.3,2,10,2021,2026-01-31 19:36:28.028632
33.2,15.3,-4.166666666666667,79.8,0.0,18.0,"rain,snow",6.5,1019.3,53.2,15.0,4,10,2022,2026-02-01 19:36:28.028632
34.2,17.1,-3.7222222222222223,79.5,0.0,20.0,"rain,snow",7.4,1025.3,38.4,15.0,4,10,2022,2026-02-02 19:36:28.028632
37.7,17.3,-1.722222222222223,89.4,0.122,51.6,"rain,snow",14.3,1017.9,58.1,10.8,3,10,2023,2026-02-03 19:36:28.028632
38.7,34.6,2.5,93.7,0.039,51.6,"rain,snow",14.1,1006.4,88.1,7.6,1,10,2023,2026-02-04 19:36:28.028632
38.6,27.0,0.4999999999999992,79.8,0.0,22.6,"rain,snow",12.3,1020.0,63.7,14.3,5,10,2024,2026-02-05 19:36:28.028632
47.7,31.4,4.722222222222222,95.9,0.0,32.3,"rain,snow",11.0,1007.5,100.0,10.2,2,10,2024,2026-02-06 19:36:28.028632
43.8,36.2,4.111111111111111,91.2,0.012,38.7,rain,7.2,1008.0,100.0,13.1,1,10,2024,2026-02-07 19:36:28.028632
46.1,28.7,2.666666666666665,74.1,0.031,38.7,rain,16.1,1011.3,27.4,13.1,6,10,2024,2026-02-08 19:36:28.028632
34.2,27.8,-1.0000000000000004,76.4,0.024,25.8,snow,7.4,1030.8,89.5,9.6,2,10,2024,2026-02-09 19:36:28.028632
